Timestamp,PM2.5 (µg/m³)
2019-01-01 05:00:00,260.0
2019-01-02 05:00:00,283.0
2019-01-03 05:00:00,298.0
2019-01-04 05:00:00,230.0
2019-01-05 05:00:00,295.0
2019-01-06 05:00:00,225.0
2019-01-07 05:00:00,153.0
2019-01-08 05:00:00,122.0
2019-01-09 05:00:00,163.0
2019-01-10 05:00:00,116.0
2019-01-11 05:00:00,316.0
2019-01-12 05:00:00,278.0
2019-01-13 05:00:00,278.0
2019-01-14 05:00:00,82.0
2019-01-15 05:00:00,
2019-01-16 05:00:00,211.0
2019-01-17 05:00:00,375.0
2019-01-18 05:00:00,262.0
2019-01-19 05:00:00,206.0
2019-01-20 05:00:00,269.0
2019-01-21 05:00:00,164.0
2019-01-22 05:00:00,
2019-01-23 05:00:00,81.0
2019-01-24 05:00:00,137.0
2019-01-25 05:00:00,56.0
2019-01-26 05:00:00,104.0
2019-01-27 05:00:00,
2019-01-28 05:00:00,
2019-01-29 05:00:00,
2019-01-30 05:00:00,
2019-01-31 05:00:00,
2019-02-01 05:00:00,
2019-02-02 05:00:00,
2019-02-03 05:00:00,
2019-02-04 05:00:00,
2019-02-05 05:00:00,
2019-02-06 05:00:00,16.0
2019-02-07 05:00:00,16.0
2019-02-08 05:00:00,
2019-02-09 05:00:00,16.0
2019-02-10 05:00:00,16.0
2019-02-11 05:00:00,16.0
2019-02-12 05:00:00,175.75
2019-02-13 05:00:00,261.25
2019-02-14 05:00:00,157.5
2019-02-15 05:00:00,57.25
2019-02-16 05:00:00,92.5
2019-02-17 05:00:00,90.25
2019-02-18 05:00:00,159.5
2019-02-19 05:00:00,75.0
2019-02-20 05:00:00,116.5
2019-02-21 05:00:00,53.0
2019-02-22 05:00:00,99.0
2019-02-23 05:00:00,53.5
2019-02-24 05:00:00,117.0
2019-02-25 05:00:00,118.75
2019-02-26 05:00:00,23.25
2019-02-27 05:00:00,22.0
2019-02-28 05:00:00,60.0
2019-03-01 05:00:00,78.0
2019-03-02 05:00:00,72.75
2019-03-03 05:00:00,65.25
2019-03-04 05:00:00,91.25
2019-03-05 05:00:00,53.25
2019-03-06 05:00:00,105.5
2019-03-07 05:00:00,99.0
2019-03-08 05:00:00,65.0
2019-03-09 05:00:00,75.75
2019-03-10 05:00:00,72.0
2019-03-11 05:00:00,71.0
2019-03-12 05:00:00,70.5
2019-03-13 05:00:00,
2019-03-14 05:00:00,
2019-03-15 05:00:00,
2019-03-16 05:00:00,59.75
2019-03-17 05:00:00,70.0
2019-03-18 05:00:00,109.75
2019-03-19 05:00:00,117.0
2019-03-20 05:00:00,106.75
2019-03-21 05:00:00,133.5
2019-03-22 05:00:00,18.75
2019-03-23 05:00:00,74.0
2019-03-24 05:00:00,32.5
2019-03-25 05:00:00,
2019-03-26 05:00:00,75.25
2019-03-27 05:00:00,68.25
2019-03-28 05:00:00,88.25
2019-03-29 05:00:00,183.5
2019-03-30 05:00:00,109.75
2019-03-31 05:00:00,69.25
2019-04-01 05:00:00,58.25
2019-04-02 05:00:00,76.75
2019-04-03 05:00:00,99.25
2019-04-04 05:00:00,153.75
2019-04-05 05:00:00,154.75
2019-04-06 05:00:00,31.5
2019-04-07 05:00:00,143.0
2019-04-08 05:00:00,58.5
2019-04-09 05:00:00,83.0
2019-04-10 05:00:00,142.75
2019-04-11 05:00:00,78.0
2019-04-12 05:00:00,72.75
2019-04-13 05:00:00,69.0
2019-04-14 05:00:00,43.25
2019-04-15 05:00:00,26.25
2019-04-16 05:00:00,
2019-04-17 05:00:00,
2019-04-18 05:00:00,16.0
2019-04-19 05:00:00,179.0
2019-04-20 05:00:00,75.0
2019-04-21 05:00:00,211.25
2019-04-22 05:00:00,171.0
2019-04-23 05:00:00,140.0
2019-04-24 05:00:00,81.75
2019-04-25 05:00:00,81.75
2019-04-26 05:00:00,106.5
2019-04-27 05:00:00,41.0
2019-04-28 05:00:00,54.0
2019-04-29 05:00:00,
2019-04-30 05:00:00,123.25
2019-05-01 05:00:00,115.0
2019-05-02 05:00:00,73.0
2019-05-03 05:00:00,73.0
2019-05-04 05:00:00,111.75
2019-05-05 05:00:00,111.25
2019-05-06 05:00:00,
2019-05-07 05:00:00,110.0
2019-05-08 05:00:00,101.75
2019-05-09 05:00:00,54.5
2019-05-10 05:00:00,37.0
2019-05-11 05:00:00,130.25
2019-05-12 05:00:00,231.25
2019-05-13 05:00:00,152.25
2019-05-14 05:00:00,19.5
2019-05-15 05:00:00,187.0
2019-05-16 05:00:00,107.25
2019-05-17 05:00:00,82.5
2019-05-18 05:00:00,
2019-05-19 05:00:00,107.25
2019-05-20 05:00:00,82.75
2019-05-21 05:00:00,67.0
2019-05-22 05:00:00,55.5
2019-05-23 05:00:00,97.25
2019-05-24 05:00:00,60.0
2019-05-25 05:00:00,52.5
2019-05-26 05:00:00,70.75
2019-05-27 05:00:00,57.0
2019-05-28 05:00:00,43.25
2019-05-29 05:00:00,65.5
2019-05-30 05:00:00,
2019-05-31 05:00:00,49.0
2019-06-01 05:00:00,82.25
2019-06-02 05:00:00,64.0
2019-06-03 05:00:00,81.75
2019-06-04 05:00:00,47.0
2019-06-05 05:00:00,70.25
2019-06-06 05:00:00,91.25
2019-06-07 05:00:00,41.75
2019-06-08 05:00:00,
2019-06-09 05:00:00,170.5
2019-06-10 05:00:00,54.75
2019-06-11 05:00:00,171.25
2019-06-12 05:00:00,34.0
2019-06-13 05:00:00,58.0
2019-06-14 05:00:00,31.0
2019-06-15 05:00:00,58.25
2019-06-16 05:00:00,11.25
2019-06-17 05:00:00,33.75
2019-06-18 05:00:00,20.0
2019-06-19 05:00:00,123.25
2019-06-20 05:00:00,23.25
2019-06-21 05:00:00,72.5
2019-06-22 05:00:00,77.25
2019-06-23 05:00:00,43.75
2019-06-24 05:00:00,18.5
2019-06-25 05:00:00,19.0
2019-06-26 05:00:00,50.0
2019-06-27 05:00:00,135.0
2019-06-28 05:00:00,81.75
2019-06-29 05:00:00,50.0
2019-06-30 05:00:00,
2019-07-01 05:00:00,33.0
2019-07-02 05:00:00,59.75
2019-07-03 05:00:00,28.0
2019-07-04 05:00:00,42.5
2019-07-05 05:00:00,
2019-07-06 05:00:00,61.75
2019-07-07 05:00:00,17.25
2019-07-08 05:00:00,36.5
2019-07-09 05:00:00,47.5
2019-07-10 05:00:00,37.0
2019-07-11 05:00:00,48.0
2019-07-12 05:00:00,43.0
2019-07-13 05:00:00,36.0
2019-07-14 05:00:00,65.5
2019-07-15 05:00:00,7.25
2019-07-16 05:00:00,26.25
2019-07-17 05:00:00,37.25
2019-07-18 05:00:00,
2019-07-19 05:00:00,59.5
2019-07-20 05:00:00,43.0
2019-07-21 05:00:00,33.25
2019-07-22 05:00:00,38.75
2019-07-23 05:00:00,58.5
2019-07-24 05:00:00,86.5
2019-07-25 05:00:00,5.75
2019-07-26 05:00:00,24.0
2019-07-27 05:00:00,16.25
2019-07-28 05:00:00,10.25
2019-07-29 05:00:00,13.25
2019-07-30 05:00:00,16.25
2019-07-31 05:00:00,11.5
2019-08-01 05:00:00,29.0
2019-08-02 05:00:00,19.75
2019-08-03 05:00:00,13.75
2019-08-04 05:00:00,20.0
2019-08-05 05:00:00,21.75
2019-08-06 05:00:00,23.75
2019-08-07 05:00:00,29.5
2019-08-08 05:00:00,17.0
2019-08-09 05:00:00,9.25
2019-08-10 05:00:00,7.5
2019-08-11 05:00:00,10.75
2019-08-12 05:00:00,8.5
2019-08-13 05:00:00,
2019-08-14 05:00:00,6.0
2019-08-15 05:00:00,15.0
2019-08-16 05:00:00,8.25
2019-08-17 05:00:00,5.5
2019-08-18 05:00:00,8.0
2019-08-19 05:00:00,19.0
2019-08-20 05:00:00,21.5
2019-08-21 05:00:00,40.75
2019-08-22 05:00:00,25.25
2019-08-23 05:00:00,42.75
2019-08-24 05:00:00,43.5
2019-08-25 05:00:00,18.25
2019-08-26 05:00:00,11.25
2019-08-27 05:00:00,21.75
2019-08-28 05:00:00,17.25
2019-08-29 05:00:00,18.75
2019-08-30 05:00:00,13.25
2019-08-31 05:00:00,20.25
2019-09-01 05:00:00,17.0
2019-09-02 05:00:00,13.75
2019-09-03 05:00:00,
2019-09-04 05:00:00,44.0
2019-09-05 05:00:00,11.25
2019-09-06 05:00:00,16.0
2019-09-07 05:00:00,10.0
2019-09-08 05:00:00,13.75
2019-09-09 05:00:00,24.5
2019-09-10 05:00:00,41.75
2019-09-11 05:00:00,49.75
2019-09-12 05:00:00,52.5
2019-09-13 05:00:00,25.0
2019-09-14 05:00:00,11.0
2019-09-15 05:00:00,16.25
2019-09-16 05:00:00,
2019-09-17 05:00:00,39.25
2019-09-18 05:00:00,32.5
2019-09-19 05:00:00,4.75
2019-09-20 05:00:00,29.25
2019-09-21 05:00:00,32.5
2019-09-22 05:00:00,15.0
2019-09-23 05:00:00,8.5
2019-09-24 05:00:00,44.5
2019-09-25 05:00:00,26.75
2019-09-26 05:00:00,11.5
2019-09-27 05:00:00,3.25
2019-09-28 05:00:00,18.75
2019-09-29 05:00:00,3.0
2019-09-30 05:00:00,
2019-10-01 05:00:00,19.75
2019-10-02 05:00:00,19.5
2019-10-03 05:00:00,
2019-10-04 05:00:00,
2019-10-05 05:00:00,37.5
2019-10-06 05:00:00,45.75
2019-10-07 05:00:00,
2019-10-08 05:00:00,31.5
2019-10-09 05:00:00,91.0
2019-10-10 05:00:00,89.75
2019-10-11 05:00:00,106.0
2019-10-12 05:00:00,107.0
2019-10-13 05:00:00,121.25
2019-10-14 05:00:00,104.75
2019-10-15 05:00:00,170.0
2019-10-16 05:00:00,152.75
2019-10-17 05:00:00,113.0
2019-10-18 05:00:00,115.75
2019-10-19 05:00:00,36.25
2019-10-20 05:00:00,111.25
2019-10-21 05:00:00,114.5
2019-10-22 05:00:00,80.25
2019-10-23 05:00:00,91.5
2019-10-24 05:00:00,
2019-10-25 05:00:00,104.0
2019-10-26 05:00:00,105.75
2019-10-27 05:00:00,128.75
2019-10-28 05:00:00,250.5
2019-10-29 05:00:00,180.0
2019-10-30 05:00:00,238.5
2019-10-31 05:00:00,170.5
2019-11-01 05:00:00,367.0
2019-11-02 05:00:00,186.5
2019-11-03 05:00:00,524.25
2019-11-04 05:00:00,416.75
2019-11-05 05:00:00,280.0
2019-11-06 05:00:00,98.0
2019-11-07 05:00:00,190.0
2019-11-08 05:00:00,220.5
2019-11-09 05:00:00,168.5
2019-11-10 05:00:00,297.5
2019-11-11 05:00:00,268.5
2019-11-12 05:00:00,430.75
2019-11-13 05:00:00,438.5
2019-11-14 05:00:00,349.25
2019-11-15 05:00:00,663.75
2019-11-16 05:00:00,217.0
2019-11-17 05:00:00,109.75
2019-11-18 05:00:00,103.75
2019-11-19 05:00:00,105.5
2019-11-20 05:00:00,120.25
2019-11-21 05:00:00,250.25
2019-11-22 05:00:00,
2019-11-23 05:00:00,128.25
2019-11-24 05:00:00,107.25
2019-11-25 05:00:00,108.75
2019-11-26 05:00:00,128.25
2019-11-27 05:00:00,25.0
2019-11-28 05:00:00,20.0
2019-11-29 05:00:00,34.75
2019-11-30 05:00:00,96.75
2019-12-01 05:00:00,97.25
2019-12-02 05:00:00,106.0
2019-12-03 05:00:00,99.5
2019-12-04 05:00:00,
2019-12-05 05:00:00,
2019-12-06 05:00:00,
2019-12-07 05:00:00,246.0
2019-12-08 05:00:00,
2019-12-09 05:00:00,
2019-12-10 05:00:00,203.0
2019-12-11 05:00:00,265.25
2019-12-12 05:00:00,270.0
2019-12-13 05:00:00,
2019-12-14 05:00:00,57.25
2019-12-15 05:00:00,74.5
2019-12-16 05:00:00,70.25
2019-12-17 05:00:00,58.25
2019-12-18 05:00:00,110.25
2019-12-19 05:00:00,140.25
2019-12-20 05:00:00,203.25
2019-12-21 05:00:00,272.75
2019-12-22 05:00:00,149.5
2019-12-23 05:00:00,116.0
2019-12-24 05:00:00,198.5
2019-12-25 05:00:00,118.5
2019-12-26 05:00:00,200.25
2019-12-27 05:00:00,193.0
2019-12-28 05:00:00,307.5
2019-12-29 05:00:00,253.75
2019-12-30 05:00:00,306.5
2019-12-31 05:00:00,137.5
