Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,800.25,,,,,,69.3,6.46,18.47,9.36,55.98,19.96,,,,8.05,,0.7,163.25,0.0,0.0,11.0,739.0,
2020-01-01 01:00:00,573.75,,,,,,60.0,6.79,19.65,7.6,44.49,13.02,,,,7.85,,0.65,169.75,0.0,0.0,11.0,739.0,
2020-01-01 02:00:00,584.75,,,,,,59.87,8.08,18.82,8.88,52.03,17.47,,,,7.52,,0.5,245.25,0.0,0.0,11.0,739.0,
2020-01-01 03:00:00,680.25,,,,,,64.84,7.34,18.33,9.28,59.19,18.99,,,,7.3,,0.65,241.5,0.0,0.0,11.0,739.0,
2020-01-01 04:00:00,645.0,,,,,,69.1,8.06,19.06,9.12,57.87,17.69,,,,7.15,,0.48,196.75,0.0,0.0,11.0,739.0,
2020-01-01 05:00:00,610.0,,,,,,70.81,7.83,19.85,9.2,59.38,18.66,,,,6.98,,0.45,263.25,0.0,0.0,11.0,739.0,
2020-01-01 06:00:00,591.25,,,,,,67.79,7.41,30.09,8.88,62.02,19.86,,,,7.05,,0.75,150.25,0.0,0.0,11.0,740.0,
2020-01-01 07:00:00,569.25,,,,,,63.4,6.69,35.08,8.64,57.12,16.82,,,,7.12,,0.57,143.75,0.0,0.0,19.5,741.0,
2020-01-01 08:00:00,528.5,,,,,,59.08,5.16,24.55,9.2,50.24,13.89,,,,8.68,95.0,0.88,112.0,0.0,0.0,55.75,741.75,
2020-01-01 09:00:00,503.0,,,,,,53.32,3.73,20.38,6.72,41.28,9.33,,,,10.3,87.5,1.1,140.0,0.0,0.0,102.5,742.5,
2020-01-01 10:00:00,318.75,,,,,,55.94,1.35,22.44,4.48,25.26,5.64,,,,12.55,74.5,2.17,114.75,0.0,0.0,207.75,743.0,
2020-01-01 11:00:00,214.0,,,,,,44.8,0.9,37.73,94.88,12.82,2.82,,,,13.32,74.75,2.7,103.75,0.0,0.0,279.0,743.0,
2020-01-01 12:00:00,141.0,,,,,,40.61,0.65,61.05,2.0,10.18,3.15,,,,14.32,74.5,2.95,111.25,0.0,0.0,230.75,742.0,
2020-01-01 13:00:00,124.5,,,,,,33.6,0.55,76.34,2.08,11.5,5.86,,,,15.22,72.75,2.3,114.75,0.0,0.0,346.25,741.0,
2020-01-01 14:00:00,110.0,,,,,,24.24,0.67,92.41,1.76,8.86,2.82,,,,15.7,71.5,0.3,113.75,0.0,0.0,304.25,740.75,
2020-01-01 15:00:00,106.5,,,,,,24.1,0.7,96.48,1.6,7.54,2.28,,,,15.62,72.25,0.3,109.0,0.0,0.0,169.25,740.0,
2020-01-01 16:00:00,103.5,,,,,,25.61,0.79,87.81,1.6,7.63,2.5,,,,15.48,73.0,0.3,103.25,0.0,0.0,98.75,740.0,
2020-01-01 17:00:00,111.75,,,,,,26.13,1.81,34.79,1.92,9.8,2.93,,,,14.5,77.25,0.3,120.25,0.0,0.0,20.5,740.0,
