Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2018-01-01 00:00:00,259.42,,237.21,98.72,0.0,,11.13,5.59,4.46,1.23,5.58,2.41,,,,14.06,60.2,0.27,235.87,0.0,0.0,6.16,734.74,-0.12
2018-01-01 01:00:00,245.0,,239.66,92.65,0.0,,9.88,5.34,4.62,1.09,5.42,2.43,,,,13.77,60.25,0.27,230.28,0.0,0.0,6.16,734.57,-0.12
2018-01-01 02:00:00,250.0,,232.58,89.27,0.0,,9.34,4.99,4.43,1.3,5.3,2.21,,,,13.44,60.15,0.27,207.45,0.0,0.0,6.23,734.16,-0.12
2018-01-01 03:00:00,196.2,,218.46,84.75,21.94,,8.55,4.62,4.55,1.06,5.29,1.87,,,,13.09,60.05,0.27,196.27,0.0,0.0,6.24,733.81,-0.13
2018-01-01 04:00:00,,,217.83,84.98,222.3,,8.4,4.61,4.58,1.06,5.31,1.92,,,,13.08,60.04,0.27,197.24,0.0,0.0,6.24,733.78,-0.13
2018-01-01 05:00:00,190.75,,80.28,53.6,0.0,,1.7,1.25,6.1,0.26,0.85,0.0,,,,12.52,59.87,0.27,228.13,0.0,0.0,6.07,733.84,-0.12
2018-01-01 06:00:00,,,147.1,87.37,0.0,,6.99,1.95,4.8,0.74,3.55,0.96,,,,12.54,59.88,0.27,218.54,0.0,0.0,6.1,734.51,-0.12
2018-01-01 07:00:00,,,156.96,87.43,0.0,,8.0,1.8,3.53,1.01,3.7,1.64,,,,11.25,59.75,0.27,107.6,0.0,0.0,6.42,735.31,-0.1
2018-01-01 08:00:00,180.58,,213.95,75.66,0.0,,10.64,2.54,4.8,0.83,3.94,1.51,,,,10.59,59.56,0.27,138.46,0.0,0.0,16.17,735.91,-0.11
2018-01-01 09:00:00,170.83,,239.15,92.94,0.0,,12.83,3.3,6.42,0.87,4.61,1.85,,,,11.7,59.84,0.27,223.43,0.0,0.0,34.4,736.92,-0.13
2018-01-01 10:00:00,304.0,,209.23,171.08,0.0,,15.54,4.31,6.77,1.28,5.69,2.26,,,,13.15,60.3,0.27,221.48,0.0,0.0,111.34,737.33,-0.13
2018-01-01 11:00:00,553.0,,111.31,175.31,0.0,,11.5,3.75,9.34,1.1,5.27,1.98,,,,14.49,60.83,0.27,130.45,0.0,0.0,193.14,736.87,-0.11
2018-01-01 12:00:00,472.0,,35.9,174.39,0.0,,5.98,2.55,8.7,0.95,4.21,1.52,,,,16.76,61.52,0.28,128.92,0.0,0.0,270.95,735.98,-0.1
2018-01-01 13:00:00,371.0,,16.55,151.58,0.0,,4.09,1.75,7.39,1.02,3.32,0.71,,,,18.39,61.9,0.27,115.8,0.0,0.0,269.7,734.77,-0.11
2018-01-01 14:00:00,317.0,,6.36,124.39,0.0,,4.08,0.85,7.74,0.88,2.66,0.95,,,,18.98,61.93,0.27,120.38,0.0,0.0,198.14,734.03,-0.11
2018-01-01 15:00:00,201.75,,7.8,108.55,0.0,,4.24,0.5,6.38,0.78,2.18,0.72,,,,18.7,61.71,0.27,138.01,0.0,0.0,115.71,733.65,-0.08
2018-01-01 16:00:00,269.0,,20.36,105.87,0.0,,3.81,0.6,5.3,0.74,2.22,0.6,,,,17.89,61.36,0.27,126.09,0.0,0.0,45.46,733.74,-0.11
2018-01-01 17:00:00,223.0,,10.37,127.01,0.0,,4.49,1.49,6.16,0.77,3.28,0.82,,,,16.84,61.04,0.27,153.47,0.0,0.0,9.47,733.93,-0.09
2018-01-01 18:00:00,301.0,,26.56,114.88,0.0,,4.1,1.8,5.19,0.88,4.18,1.36,,,,15.96,60.71,0.27,198.83,0.0,0.0,6.18,734.02,-0.13
2018-01-01 19:00:00,272.0,,65.19,110.77,0.0,,5.36,2.49,5.32,0.75,4.14,1.47,,,,15.6,60.57,0.27,208.74,0.0,0.0,6.18,734.53,-0.13
2018-01-01 20:00:00,314.0,,106.46,107.53,0.0,,8.24,3.05,4.82,1.1,4.51,1.67,,,,15.06,60.45,0.27,230.5,0.0,0.0,6.2,734.8,-0.13
2018-01-01 21:00:00,320.0,,141.34,102.81,0.0,,10.0,3.49,4.89,1.32,4.67,1.71,,,,14.67,60.35,0.27,255.73,0.0,0.0,6.21,734.93,-0.13
2018-01-01 22:00:00,346.0,,165.05,98.57,0.0,,11.24,3.7,4.83,1.3,4.7,1.61,,,,14.21,60.26,0.27,261.05,0.0,0.0,6.21,735.06,-0.13
2018-01-01 23:00:00,280.0,,176.95,94.4,0.0,,12.13,3.54,4.64,1.04,4.68,2.01,,,,14.0,60.17,0.27,269.85,0.0,0.0,6.23,735.18,-0.13
2018-01-02 00:00:00,243.0,,188.27,91.43,0.0,,10.06,4.74,4.54,1.2,4.77,1.72,,,,13.7,59.34,0.27,221.49,0.0,0.0,6.22,734.78,-0.13
2018-01-02 01:00:00,230.0,,198.33,84.94,0.0,,8.54,4.69,4.36,1.13,4.92,1.55,,,,12.7,59.69,0.27,209.35,0.0,0.0,6.24,734.48,-0.17
2018-01-02 02:00:00,217.0,,211.65,77.74,0.0,,9.24,4.54,4.3,0.99,4.96,1.62,,,,12.43,59.89,0.46,267.36,0.0,0.0,6.24,734.21,-0.24
2018-01-02 03:00:00,246.0,,183.38,80.93,0.0,,8.12,3.92,4.34,1.1,4.97,1.49,,,,11.92,59.79,0.71,258.01,0.0,0.0,6.24,734.04,-0.2
2018-01-02 04:00:00,176.0,,151.85,82.29,0.0,,5.59,3.2,3.96,1.1,4.23,1.32,,,,11.64,59.7,0.33,258.78,0.0,0.0,6.17,734.13,-0.2
2018-01-02 05:00:00,161.0,,128.28,80.06,0.0,,4.45,2.71,4.08,0.76,3.43,0.82,,,,11.55,59.66,0.27,267.16,0.0,0.0,6.22,734.52,-0.2
2018-01-02 06:00:00,171.0,,113.94,80.1,0.0,,3.56,2.36,3.9,0.79,2.93,0.97,,,,11.58,59.66,0.28,260.54,0.0,0.0,6.24,735.16,-0.21
2018-01-02 07:00:00,158.58,,104.64,78.35,0.0,,3.55,2.15,4.15,0.79,2.55,1.04,,,,11.74,59.66,0.27,182.77,0.0,0.0,6.52,735.67,-0.13
2018-01-02 08:00:00,195.0,,100.83,77.87,0.0,,3.97,2.05,3.93,0.67,2.37,0.77,,,,11.78,59.67,0.45,217.26,0.0,0.0,15.19,736.48,-0.16
2018-01-02 09:00:00,204.0,,98.11,79.2,0.0,,3.08,2.01,4.04,0.69,2.26,0.72,,,,11.74,59.7,0.28,246.07,0.0,0.0,45.46,737.24,-0.2
2018-01-02 10:00:00,216.0,,95.6,82.07,0.0,,3.45,2.03,4.01,0.76,2.11,0.77,,,,12.39,59.94,0.27,256.98,0.0,0.0,89.55,737.66,-0.22
2018-01-02 11:00:00,228.0,,169.02,66.31,0.0,,2.84,1.85,15.22,0.56,2.09,0.73,,,,14.64,60.65,0.28,184.87,0.0,0.0,219.17,737.29,-0.14
2018-01-02 12:00:00,238.0,,35.95,81.39,0.0,,0.77,1.29,17.3,0.66,2.14,0.56,,,,16.54,61.32,0.27,143.16,0.0,0.0,250.96,736.58,-0.12
2018-01-02 13:00:00,503.0,,7.25,133.53,0.0,,2.24,2.44,11.45,0.74,1.99,0.28,,,,16.59,61.35,0.49,127.72,0.0,0.0,239.0,735.41,-0.1
2018-01-02 14:00:00,391.0,,17.83,118.15,0.0,,3.21,2.43,4.75,0.78,2.13,0.28,,,,16.85,61.32,0.42,138.27,0.0,0.0,201.84,734.59,-0.09
2018-01-02 15:00:00,326.0,,27.03,108.06,0.0,,4.13,2.33,4.23,0.72,2.24,0.73,,,,17.07,61.22,0.28,131.23,0.0,0.0,116.95,734.43,-0.13
2018-01-02 16:00:00,283.0,,36.2,98.1,0.0,,4.66,2.23,4.56,0.63,2.25,0.86,,,,16.06,60.83,0.27,128.44,0.0,0.0,48.25,734.34,-0.11
2018-01-02 17:00:00,248.0,,26.47,102.11,0.0,,4.44,2.08,4.14,0.62,2.18,0.64,,,,15.27,60.48,0.27,121.7,0.0,0.0,9.48,734.5,-0.13
2018-01-02 18:00:00,272.0,,38.06,94.09,0.0,,8.18,2.16,4.22,0.77,2.15,0.55,,,,14.36,60.27,0.28,149.28,0.0,0.0,6.21,734.9,-0.08
2018-01-02 19:00:00,230.0,,53.23,87.79,7.74,,11.56,2.31,4.29,0.7,2.32,0.79,,,,13.69,60.11,0.27,148.36,0.0,0.0,6.2,735.25,-0.07
2018-01-02 20:00:00,260.0,,70.32,82.42,0.0,,12.93,2.5,4.44,0.74,2.56,0.89,,,,13.18,59.98,0.27,149.86,0.0,0.0,6.19,735.74,-0.09
2018-01-02 21:00:00,261.0,,83.48,78.89,0.0,,13.9,2.71,4.72,0.93,2.97,1.23,,,,12.82,59.9,0.27,164.86,0.0,0.0,6.23,736.23,-0.12
