Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2023-12-10 18:00:00,129.71666666666667,236.98749999999998,18.576666666666668,38.020833333333336,34.931666666666665,16.541249999999998,12.46,0.6783333333333333,19.99083333333333,1.25625,16.18625,1.7537500000000001,,3.33,2.82125,19.0,49.75,0.4558333333333333,215.5716666666667,0.0,0.0,13.0,719.0,-4.8
2023-12-10 19:00:00,198.79166666666666,378.8625,19.131666666666668,40.149166666666666,35.5325,16.6475,12.335,1.0108333333333333,21.13083333333333,1.36875,15.825,1.66625,,3.48625,2.7925,18.025,51.75,0.5425,216.99,0.0,0.0,13.0,718.75,-5.275
2023-12-10 20:00:00,213.59541666666667,410.2683333333334,21.79479166666667,35.401041666666664,38.4,22.650000000000002,10.255625,1.5235416666666666,15.24,1.9016666666666666,15.86625,1.7737500000000002,,3.37875,2.8475,17.133333333333333,54.333333333333336,0.37916666666666665,197.58777777777777,0.0,0.0,13.0,719.3333333333334,-5.833333333333333
2023-12-10 21:00:00,193.93625,364.605,24.33125,34.38875,39.9225,22.599166666666665,10.578125,1.59,15.613750000000001,2.0116666666666667,15.81,1.6225,,3.41,2.8074999999999997,16.55,68.29666666666667,0.33875,177.56020833333332,0.0,0.0,13.0,719.25,-6.25
2023-12-10 22:00:00,199.66875,376.0316666666667,30.504375000000003,35.316874999999996,44.304375,22.768333333333334,10.52875,1.75375,15.466875000000002,1.9858333333333331,15.62875,1.7325,,3.47875,2.8191666666666664,16.025000000000002,70.2775,0.38812500000000005,191.37375,0.0,0.0,13.0,719.5,-6.725
2023-12-10 23:00:00,202.37666666666667,355.5933333333333,23.116666666666667,32.30166666666667,38.07833333333333,22.99888888888889,10.300833333333333,1.7675,15.820000000000002,2.092222222222222,15.744999999999997,1.6716666666666664,,3.3933333333333335,2.94,15.833333333333334,71.07833333333332,0.33666666666666667,220.53416666666666,0.0,0.0,13.0,718.6666666666666,-6.633333333333333
2023-12-11 00:00:00,167.059375,268.4691666666667,31.000625,35.71,44.95,22.909166666666668,9.89125,1.5431249999999999,15.695,2.0725000000000002,15.8325,1.705,,3.4312500000000004,2.964166666666667,15.675,72.32124999999999,0.38250000000000006,211.58375,0.0,0.0,13.0,718.75,-6.775
2023-12-11 01:00:00,161.23666666666668,261.94666666666666,24.102083333333333,33.08291666666667,38.79708333333333,22.706111111111113,10.170416666666666,1.3935416666666667,15.818750000000001,2.066666666666667,15.4425,1.7650000000000001,,3.3775,2.8169444444444447,15.5,74.61333333333334,0.35854166666666665,198.5375,0.0,0.0,13.0,719.0,-6.875
2023-12-11 02:00:00,159.43562500000002,278.4841666666667,24.920625,32.361875000000005,39.3975,22.8325,10.281875,1.30375,15.283125,1.965,15.675,1.67875,,3.3900000000000006,2.8633333333333333,15.05,76.045,0.37125,202.659375,0.0,0.0,13.0,719.25,-7.25
2023-12-11 03:00:00,167.03500000000003,278.84666666666664,27.631875,29.10375,40.537708333333335,22.676666666666666,10.384375,1.23125,15.570625,2.055,16.11,1.7425,,3.295,2.8716666666666666,14.925,77.5975,0.45375,211.89125,0.0,0.0,13.0,718.75,-7.425
2023-12-11 04:00:00,200.11374999999998,321.7233333333333,22.97875,28.141875,34.78666666666667,22.515,10.0475,1.2025,15.1125,1.9658333333333333,15.7625,1.7337500000000001,,3.4987500000000002,2.7422222222222223,14.4,77.44749999999999,0.381875,192.91125,0.0,0.0,13.0,719.5,-8.05
2023-12-11 05:00:00,198.69125,374.825,22.258750000000003,27.343125,36.591875,16.56875,10.99,1.1018750000000002,15.768125000000001,2.0905555555555555,16.05375,1.6975,,3.455,2.848333333333333,14.1,78.63,0.4533333333333333,228.741875,0.0,0.0,13.0,719.0,-8.174999999999999
2023-12-11 06:00:00,191.20125000000002,405.525,21.421875,28.0325,33.125,16.1225,12.246875,1.109375,15.863125,2.0308333333333333,15.60875,1.73875,,3.4825,2.978333333333333,13.85,64.25,0.44583333333333336,217.146875,0.0,0.0,13.0,717.75,-8.275
2023-12-11 07:00:00,219.76666666666665,377.80833333333334,31.055555555555554,29.56,40.28694444444445,22.429444444444442,15.735555555555555,0.9472222222222223,20.571666666666665,1.7275,15.713750000000001,1.71625,,3.4137500000000003,2.7130555555555556,14.0,78.39166666666668,0.34458333333333335,193.79527777777776,0.0,0.0,19.955416666666668,716.3333333333334,-8.2
2023-12-11 08:00:00,206.965,352.77833333333336,27.309375,32.582499999999996,40.93625,22.748333333333335,11.76875,1.48625,15.974375,1.4775,15.504999999999999,1.74125,,3.42875,2.8708333333333336,15.975,63.625,0.504375,224.96125,0.109375,0.109375,139.51833333333332,717.75,-6.825
2023-12-11 09:00:00,228.54125,403.2266666666667,17.75625,25.84125,33.00375,22.901666666666667,11.264375,1.59375,16.720000000000002,2.055,15.78875,1.63875,,3.37625,2.8925,18.1,53.6475,0.583125,216.29874999999998,0.0,0.0,231.95416666666665,718.0,-5.025
2023-12-11 10:00:00,210.75708333333333,393.78833333333336,17.290625,26.527083333333334,33.395625,22.72,10.443958333333333,1.189375,19.839791666666667,1.8941666666666668,14.3525,1.5324999999999998,,3.3183333333333334,2.8305555555555557,20.666666666666668,45.134583333333325,0.48770833333333335,209.18,0.0,0.0,327.8286111111111,718.6666666666666,-3.733333333333333
2023-12-11 11:00:00,176.43312500000002,359.77666666666664,16.298125,24.091250000000002,31.970625,22.81527777777778,9.99125,0.9808333333333333,22.355833333333333,1.9216666666666669,14.37875,1.5325,,3.5008333333333335,2.8344444444444448,22.425,38.4625,0.6074999999999999,203.18,0.0,0.0,400.93416666666667,719.25,-2.7
2023-12-11 12:00:00,126.47,405.1783333333333,16.229375,20.25375,30.891875,22.651666666666667,7.526875,0.768125,23.880625000000002,2.0458333333333334,16.41,1.64375,,3.48875,2.828333333333333,23.075,36.463750000000005,0.739375,191.765,0.0,0.0,356.685,720.75,-2.35
2023-12-11 13:00:00,107.395625,203.39375,16.504583333333333,19.699375,29.70125,22.97583333333333,6.605625,0.98125,23.70916666666667,2.0883333333333334,15.4725,1.77875,,3.5275,2.873333333333333,23.76666666666667,35.07958333333333,0.735625,200.33458333333334,0.0,0.0,276.38444444444445,721.6666666666666,-2.1333333333333333
2023-12-11 14:00:00,97.53458333333333,188.1025,15.81625,19.331875,28.801875000000003,22.864166666666666,5.830208333333333,0.9068750000000001,23.248125,1.8741666666666665,12.704999999999998,1.40875,,3.4225000000000003,2.9175000000000004,24.2,34.37,0.6491666666666667,181.73020833333334,0.0,0.0,211.2925,719.75,-2.05
2023-12-11 15:00:00,90.29124999999999,161.29583333333332,16.315833333333334,21.499791666666667,30.631458333333335,22.930833333333336,4.9210416666666665,0.9077083333333333,20.954375,2.0366666666666666,15.756250000000001,1.6087500000000001,,3.42625,2.938333333333333,24.166666666666668,36.45583333333333,0.4654166666666667,166.63041666666663,0.0,0.0,112.25111111111111,720.3333333333334,-2.1666666666666665
2023-12-11 16:00:00,95.18791666666667,187.45000000000002,17.348541666666666,21.09208333333333,31.500833333333333,22.38083333333333,4.7508333333333335,0.99625,15.713125,2.0941666666666667,15.6875,1.71,,3.38,2.6925000000000003,19.89416666666667,40.49527777777778,0.42583333333333334,137.26375,0.0,0.0,37.056041666666665,721.6666666666666,-2.8000000000000003
2023-12-11 17:00:00,107.824375,221.67916666666667,18.26145833333333,32.607708333333335,35.576458333333335,22.775833333333328,4.086875,1.4175,8.265625,2.0116666666666667,15.8875,1.7000000000000002,,3.39625,2.8508333333333336,19.745833333333337,56.39611111111111,0.360625,160.39249999999998,0.0,0.0,5.165,722.6666666666666,-4.733333333333333
2023-12-11 18:00:00,116.8775,254.56416666666667,18.369375,35.663125,36.460625,22.574166666666667,5.376875,1.944375,6.766249999999999,2.0516666666666663,15.69375,1.7525,,3.4375,2.7975,18.333750000000002,62.527499999999996,0.36125,218.42625,0.0,0.0,13.0,722.0,-5.625
2023-12-11 19:00:00,154.26749999999998,330.94166666666666,31.385624999999997,35.405833333333334,44.916875,22.736666666666668,8.959791666666666,2.610625,7.074375,1.9916666666666665,15.829999999999998,1.71625,,3.40375,2.8666666666666667,17.06875,69.20111111111112,0.350625,200.13,0.0,0.0,13.0,721.6666666666666,-6.233333333333333
2023-12-11 20:00:00,213.54958333333332,466.9458333333334,39.71645833333333,36.36604166666667,50.658125,22.735833333333332,9.457708333333333,2.9927083333333333,7.215625,2.055,15.818750000000001,1.7125,,3.41875,2.8333333333333335,16.254166666666666,73.91527777777777,0.35375,211.83354166666663,0.0,0.0,13.0,720.3333333333334,-6.833333333333333
2023-12-11 21:00:00,256.42625,285.47625,61.369375,38.844375,66.14375,22.6575,9.36,3.3706250000000004,7.30375,2.0941666666666667,16.13125,1.71875,,3.41875,2.8249999999999997,15.66,77.84666666666666,0.36312500000000003,187.670625,0.0,0.0,13.0,720.5,-7.325
2023-12-11 22:00:00,292.030625,520.4197222222223,55.236250000000005,35.49625,60.72125,22.479166666666668,9.811875,3.7856250000000005,7.264374999999999,2.0166666666666666,15.723749999999999,1.85625,,3.5250000000000004,2.78,15.219999999999999,81.11916666666667,0.345625,186.685625,0.0,0.0,13.0,720.75,-7.8
2023-12-11 23:00:00,224.75444444444443,326.06333333333333,46.585,34.09,54.29083333333334,23.074444444444442,10.5,4.129166666666666,6.885,2.0955555555555554,15.908333333333331,1.6649999999999998,,3.333333333333333,3.0066666666666664,14.721666666666666,83.36222222222223,0.3425,157.98,0.0,0.0,13.0,720.3333333333334,-8.166666666666666
2023-12-12 00:00:00,255.10958333333335,429.945,35.9525,32.039375,46.81625,22.774166666666662,11.424375,2.7975,7.092499999999999,2.0850000000000004,15.7475,1.7000000000000002,,3.4124999999999996,2.8316666666666666,14.254999999999999,84.21583333333332,0.37062500000000004,204.901875,0.0,0.0,13.0,720.0,-8.025
2023-12-12 01:00:00,215.37875000000003,369.4491666666666,48.388749999999995,30.46875,54.6375,22.645,12.925,2.28875,6.77125,1.9725000000000001,15.7175,1.695,,3.3525,2.8125,13.84375,85.0425,0.33875000000000005,198.1625,0.0,0.0,13.0,719.0,-8.175
2023-12-12 02:00:00,190.60000000000002,331.77416666666664,52.115625,28.758333333333336,56.77791666666666,22.69333333333333,12.041458333333335,1.955625,6.84,2.0558333333333336,15.96375,1.68,,3.4400000000000004,2.8033333333333332,13.579166666666667,86.00722222222221,0.345625,204.58895833333332,0.0,0.0,13.0,717.0,-8.633333333333333
2023-12-12 03:00:00,185.63604166666664,307.10527777777776,52.24645833333334,26.6875,56.205,22.625555555555554,11.110416666666666,1.8050000000000002,6.9037500000000005,2.025,15.88625,1.76125,,3.42375,2.8208333333333333,13.248750000000001,86.73166666666667,0.34500000000000003,161.42395833333333,0.0,0.0,13.0,717.25,-8.825
2023-12-12 04:00:00,187.68541666666664,301.93833333333333,58.247708333333335,28.172083333333333,60.97625,22.77944444444444,10.908750000000001,1.743125,9.013958333333333,2.023888888888889,15.55125,1.7537500000000001,,3.385,2.855,12.8,87.25583333333333,0.3597916666666667,222.5375,0.0,0.0,13.0,718.5,-9.025
2023-12-12 05:00:00,176.75125,273.62916666666666,40.19875,28.7675,49.33375,22.781666666666666,10.673749999999998,1.654375,7.7225,2.0208333333333335,15.625,1.65,,3.4400000000000004,2.8716666666666666,12.572500000000002,87.73833333333333,0.364375,226.235,0.0,0.0,13.0,718.5,-9.075
2023-12-12 06:00:00,198.245,319.4916666666667,40.011874999999996,26.35604166666667,48.83958333333334,22.78333333333333,11.473333333333333,1.7577083333333334,7.310625,1.9983333333333333,15.876249999999999,1.73875,,3.44,2.8633333333333333,12.483749999999999,88.33611111111111,0.34687500000000004,188.768125,0.0,0.0,13.0,718.6666666666666,-9.266666666666667
2023-12-12 07:00:00,218.60791666666665,370.73166666666674,38.12375,25.613125,45.968125,22.647500000000004,12.10125,1.901875,7.56,2.0225,15.63375,1.635,,3.42625,2.8125,12.66375,88.81666666666666,0.380625,158.56,0.1375,0.1375,18.515625,717.25,-9.4
2023-12-12 08:00:00,237.546875,405.4083333333333,31.595625000000002,32.75875,44.5475,22.63083333333333,11.480625,2.0625,7.389375,1.9750000000000003,15.563749999999999,1.7575,,3.4349999999999996,2.7916666666666665,14.31375,87.515,0.44875,121.449375,0.0625,0.0625,99.048125,717.25,-8.4
2023-12-12 09:00:00,238.758125,411.35166666666663,20.273125,27.225625,35.015,23.0325,10.426875,1.5518750000000001,6.686249999999999,2.143333333333333,15.50375,1.665,,3.31625,2.9583333333333335,16.361250000000002,78.20166666666667,0.499375,116.113125,0.0,0.0,216.270625,718.0,-6.525
2023-12-12 10:00:00,191.784375,340.115,18.26375,23.59,32.806875,22.785,9.654375,0.81625,8.54875,2.165833333333333,15.68375,1.6675,,3.4675,2.8074999999999997,16.793333333333333,53.188125,0.659375,150.609375,0.0,0.0,347.586875,719.0,-5.0
2023-12-12 11:00:00,150.03562499999998,243.60333333333332,17.758541666666666,23.172708333333333,32.806875,22.76444444444444,9.1875,0.48125,11.089583333333334,1.8558333333333332,13.48375,1.4275,,3.39625,2.831111111111111,20.641666666666666,52.271875,0.6945833333333333,152.74270833333333,0.0,0.0,391.440625,718.25,-4.375
2023-12-12 12:00:00,132.70333333333332,212.83916666666667,17.071875,22.1825,30.837916666666665,22.635833333333334,8.297777777777776,0.630625,14.168125,2.049166666666667,15.620000000000001,1.7125,,3.42875,2.765833333333333,22.32208333333333,46.730555555555554,0.7518750000000001,163.34541666666667,0.0,0.0,424.89416666666665,719.6666666666666,-3.733333333333333
2023-12-12 13:00:00,115.698125,194.51166666666668,16.456875,20.88375,30.4325,22.9525,9.264166666666666,0.656875,20.496875,2.0608333333333335,15.5675,1.6949999999999998,,3.4525,2.919166666666667,22.85625,44.17666666666667,0.760625,160.69875,0.0,0.0,391.98,719.75,-3.175
2023-12-12 14:00:00,105.22145833333333,191.69916666666666,17.121041666666667,19.950625,30.60125,22.468333333333334,9.375555555555556,0.744375,20.645,2.1441666666666666,15.79,1.72125,,3.3475,2.765,23.302500000000002,44.135,0.6385416666666666,166.948125,0.0,0.0,292.33,719.6666666666666,-3.1666666666666665
2023-12-12 15:00:00,88.509375,160.00166666666667,16.07875,21.75375,31.119374999999998,22.9075,7.592499999999999,0.68875,26.468125,1.9608333333333334,15.802499999999998,1.7000000000000002,,3.42,2.910833333333333,22.31888888888889,48.448125000000005,0.6725,169.16,0.0,0.0,133.60875,719.0,-3.575
2023-12-12 16:00:00,91.89125,182.27111111111114,16.11125,22.09375,31.371875,22.727500000000003,6.948125,0.815625,17.745,2.029166666666667,16.11625,1.74,,3.3987499999999997,2.8841666666666668,21.275833333333335,53.768125,0.4775,168.473125,0.0,0.0,41.925625,717.25,-4.2
2023-12-12 17:00:00,98.593125,196.83916666666664,19.1675,30.013125000000002,34.870625000000004,22.76666666666667,6.6518749999999995,1.008125,10.263124999999999,1.9675,15.49875,1.6487500000000002,,3.41125,2.8641666666666663,19.236666666666668,63.2175,0.37937499999999996,157.588125,0.0,0.0,5.28625,718.25,-5.4
2023-12-12 18:00:00,135.22604166666667,272.0833333333333,27.28541666666667,37.083333333333336,42.955,22.981666666666666,6.632083333333334,1.588125,7.231249999999999,2.029166666666667,16.11875,1.79,,3.415,2.9258333333333333,17.448888888888888,75.30645833333334,0.35125,188.05583333333334,0.0,0.0,13.0,719.0,-6.833333333333333
2023-12-12 19:00:00,154.13,314.03,22.798333333333336,33.708749999999995,38.72125,22.615277777777777,7.438124999999999,2.3316666666666666,7.201666666666666,2.039444444444445,15.79625,1.7962500000000001,,3.31625,2.7969444444444442,16.355,83.79520833333333,0.3710416666666666,198.855,0.0,0.0,13.0,718.75,-7.4
2023-12-12 20:00:00,170.19708333333335,395.2366666666667,31.067500000000003,36.061875,44.62125,23.028333333333336,7.336874999999999,2.515,7.46875,2.044166666666667,15.752500000000001,1.82125,,3.34125,2.940833333333334,15.643333333333333,87.01375,0.35375,184.826875,0.0,0.0,13.0,719.5,-7.949999999999999
2023-12-12 21:00:00,192.70458333333335,414.7683333333334,28.955625,31.211875,41.836875,22.882500000000004,7.506875,3.119375,7.203749999999999,1.9866666666666666,15.942499999999999,1.75625,,3.51625,2.8816666666666664,15.244166666666667,88.873125,0.360625,182.244375,0.0,0.0,13.0,718.0,-8.225
2023-12-12 22:00:00,207.71875,417.0075,30.508125,32.468125,43.718125,22.734166666666667,8.065625,3.226875,7.76375,2.0233333333333334,15.5175,1.7537500000000001,,3.4762500000000003,2.793333333333333,14.781666666666666,89.74562499999999,0.356875,169.651875,0.0,0.0,13.0,719.25,-8.575
2023-12-12 23:00:00,214.99666666666667,417.5799999999999,39.05166666666668,29.36,47.8925,22.824444444444442,8.321666666666667,3.205833333333333,7.564166666666667,2.074444444444444,15.633333333333333,1.7499999999999996,,3.463333333333334,2.848888888888889,14.516666666666666,90.40166666666667,0.3575,176.40666666666667,0.0,0.0,13.0,719.6666666666666,-8.700000000000001
2023-12-13 00:00:00,207.52,360.5022222222222,59.611875,27.79875,61.579375,22.659444444444443,7.558125,2.515625,7.445625,2.026666666666667,16.04,1.7374999999999998,,3.44875,2.7933333333333334,14.084166666666667,90.989375,0.37354166666666666,226.131875,0.0,0.0,13.0,719.5,-9.0
2023-12-13 01:00:00,204.469375,332.32166666666666,55.246875,25.939375,57.548125,22.645,7.2375,2.479375,6.7625,2.0616666666666665,15.776250000000001,1.6825,,3.3449999999999998,2.7758333333333334,13.829166666666666,91.2025,0.335625,228.53562499999998,0.0,0.0,13.0,719.5,-9.1
2023-12-13 02:00:00,189.690625,298.395,51.351875,26.128124999999997,54.90208333333333,22.60166666666667,7.380624999999999,2.34,7.285625,2.1199999999999997,15.42625,1.7425000000000002,,3.4675000000000002,2.8608333333333333,13.563333333333333,91.44375,0.35187500000000005,178.26375000000002,0.0,0.0,13.0,720.0,-9.225
2023-12-13 03:00:00,203.84166666666667,360.355,43.054375,26.4225,49.6725,22.848333333333333,7.595416666666666,2.1375,7.471875,2.1483333333333334,15.7075,1.7737500000000002,,3.44375,2.8666666666666667,13.3025,91.7225,0.340625,214.94208333333333,0.0,0.0,13.0,719.6666666666666,-9.4
2023-12-13 04:00:00,176.91750000000002,365.17499999999995,46.57729166666667,26.840625000000003,49.362500000000004,16.295,7.820208333333333,1.955625,7.675625,0.6900000000000001,13.23375,1.45875,,3.32625,2.7866666666666666,13.0075,89.25333333333333,0.43388888888888894,228.94875000000002,0.0,0.0,13.0,719.0,-9.375
2023-12-13 05:00:00,177.6954166666667,362.14166666666665,41.07875,26.053958333333334,48.07958333333333,16.565416666666668,7.596666666666667,1.8585416666666665,6.656874999999999,2.201111111111111,15.555833333333332,1.7045833333333331,,3.373333333333333,2.765833333333333,12.691388888888888,89.47555555555556,0.4411111111111112,183.98916666666668,0.0,0.0,13.0,717.6666666666666,-9.533333333333331
2023-12-13 06:00:00,208.775,353.05,44.61333333333334,25.25,48.258125,16.29,9.866666666666665,1.53,9.2325,0.8508333333333334,16.06375,1.8162500000000001,,3.4537500000000003,2.71,12.494166666666667,89.58666666666666,0.4316666666666667,215.96875,0.0,0.0,13.0,716.25,-9.575
2023-12-13 07:00:00,178.175,350.1,40.906666666666666,28.364166666666666,46.620625,17.002499999999998,9.26375,1.53875,8.25,0.7391666666666667,13.2025,1.36125,,3.46875,2.99,12.581666666666665,89.58666666666666,0.4391666666666667,185.00437499999998,0.0,0.0,13.614166666666668,716.5,-9.475
2023-12-13 08:00:00,219.71875,564.1166666666667,41.7125,34.435,48.741249999999994,16.71,10.330625,1.7002083333333333,26.76625,1.0525,11.357500000000002,1.1975,,3.4087499999999995,2.82125,15.583749999999998,83.815,0.41333333333333333,165.74,0.0,0.0,103.50999999999999,716.75,-9.1
2023-12-13 09:00:00,233.39125,701.875,24.524375,37.645,40.9125,16.32375,9.437083333333334,2.1870833333333333,9.06125,1.28,15.872499999999999,1.68375,,3.3274999999999997,2.77125,18.795,78.25375,0.4483333333333333,159.02041666666668,0.0,0.0,214.27083333333334,716.75,-7.3
2023-12-13 10:00:00,202.12229166666668,366.09083333333336,19.531875,27.485833333333332,35.23020833333333,22.816666666666663,7.776666666666666,1.6441666666666666,9.21125,2.09,16.07,1.6775,,3.525,2.8350000000000004,21.09375,64.47416666666668,0.485,167.95875,0.0,0.0,307.6483333333333,716.0,-5.7
2023-12-13 11:00:00,161.500625,254.23305555555555,17.982083333333332,28.133333333333333,31.3075,22.998055555555556,6.862708333333333,1.218125,10.562083333333334,1.8408333333333333,12.9275,1.4825,,3.4554166666666664,2.874166666666667,22.347500000000004,56.95583333333334,0.5916666666666667,113.04479166666667,0.0,0.0,344.3708333333334,717.75,-4.75
2023-12-13 12:00:00,142.53562499999998,259.68416666666667,17.983125,29.8075,34.084375,22.99083333333333,8.535,1.259375,11.853125,2.0716666666666668,15.69375,1.7149999999999999,,3.4575,2.9283333333333332,23.825,49.896249999999995,0.473125,165.279375,0.0,0.0,235.47083333333333,716.5,-3.975
