Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2019-01-01 00:00:00,254.0,,3.6,105.07,58.81,,17.93,2.65,47.58,,,,,,,13.96,62.69,0.94,246.56,0.0,0.0,5.92,740.9,
2019-01-01 01:00:00,256.0,,3.08,109.83,60.92,,18.3,2.67,2.82,,,,,,,13.8,62.69,1.17,270.48,0.0,0.0,5.88,740.66,
2019-01-01 02:00:00,263.0,,3.74,104.5,58.67,,18.14,2.31,2.7,,,,,,,13.46,62.69,1.12,252.48,0.0,0.0,5.88,740.6,
2019-01-01 03:00:00,241.0,,3.6,89.14,50.34,,18.71,1.96,2.41,,,,,,,13.14,62.7,1.34,270.84,0.0,0.0,5.87,740.26,
2019-01-01 04:00:00,244.0,,3.07,79.39,44.72,,22.03,1.81,2.47,,,,,,,12.71,62.69,0.99,273.27,0.0,0.0,5.88,739.58,
2019-01-01 05:00:00,260.0,,3.04,77.58,43.74,,23.68,1.77,2.98,,,,,,,12.37,62.72,1.53,274.79,0.0,0.0,5.88,739.06,
2019-01-01 06:00:00,293.0,,2.74,76.01,42.66,,20.66,1.83,3.07,,,,,,,11.99,62.7,1.1,247.28,0.0,0.0,5.95,739.42,
2019-01-01 07:00:00,282.0,,2.94,77.87,43.88,,19.03,1.86,3.26,,,,,,,11.96,62.68,0.77,237.03,0.0,0.0,9.78,740.68,
2019-01-01 08:00:00,336.0,,3.39,92.57,52.0,,22.55,2.01,3.57,,,,,,,13.55,62.69,0.59,217.54,0.0,0.0,41.74,741.6,
2019-01-01 09:00:00,354.0,,3.19,81.64,46.35,,25.0,1.54,12.34,,,,,,,16.53,62.72,0.9,255.52,0.0,0.0,106.19,742.21,
2019-01-01 10:00:00,242.0,,2.67,75.93,42.53,,25.61,1.19,33.06,,,,,,,19.55,62.75,0.91,203.17,0.0,0.0,194.17,742.4,
2019-01-01 11:00:00,191.0,,2.81,49.51,28.64,,21.46,0.91,52.32,,,,,,,21.57,62.7,0.98,208.29,0.0,0.0,267.22,741.79,
2019-01-01 12:00:00,145.0,,2.8,43.83,25.58,,24.65,0.83,67.12,,,,,,,22.5,73.15,0.96,198.31,0.0,0.0,244.94,740.71,
2019-01-01 13:00:00,141.0,,2.38,46.31,26.57,,27.09,0.76,71.63,,,,,,,23.26,85.92,1.23,166.02,0.0,0.0,288.38,739.46,
2019-01-01 14:00:00,132.0,,2.64,52.23,29.93,,29.51,1.12,79.45,,,,,,,22.43,85.97,2.32,106.66,0.0,0.0,254.78,738.67,
2019-01-01 15:00:00,212.0,,2.63,54.67,31.18,,29.5,0.83,68.27,,,,,,,22.0,85.89,1.98,121.76,0.0,0.0,182.45,738.33,
2019-01-01 16:00:00,112.0,,3.13,55.55,32.1,,27.54,0.81,53.65,,,,,,,21.4,85.87,1.09,146.76,0.0,0.0,82.25,738.7,
2019-01-01 17:00:00,125.0,,2.71,74.81,42.05,,26.66,1.72,10.58,,,,,,,19.91,85.89,0.73,135.24,0.0,0.0,14.98,738.75,
2019-01-01 18:00:00,173.0,,2.98,108.26,60.0,,24.48,2.4,4.3,,,,,,,18.23,85.89,0.56,161.42,0.0,0.0,5.99,739.0,
2019-01-01 19:00:00,225.0,,3.81,154.74,84.81,,25.41,3.82,3.31,,,,,,,17.39,85.89,0.59,153.39,0.0,0.0,5.93,739.42,
2019-01-01 20:00:00,287.0,,4.11,186.16,102.36,,22.5,3.75,3.19,,,,,,,16.75,85.89,0.75,143.19,0.0,0.0,5.9,739.69,
2019-01-01 21:00:00,326.0,,3.62,170.38,93.57,,19.61,3.71,3.01,,,,,,,16.03,85.89,0.52,170.31,0.0,0.0,5.88,739.74,
2019-01-01 22:00:00,363.0,,3.54,147.43,81.3,,16.0,3.31,2.86,,,,,,,15.41,85.89,0.61,189.69,0.0,0.0,5.88,739.73,
2019-01-01 23:00:00,339.0,,3.52,126.88,70.35,,17.67,3.53,3.24,,,,,,,15.07,85.89,0.54,190.75,0.0,0.0,5.96,739.83,
2019-01-02 00:00:00,387.0,,3.58,124.52,69.08,,14.91,3.17,42.39,,,,,,,15.04,85.9,0.64,125.18,0.0,0.0,6.05,739.54,
2019-01-02 01:00:00,345.0,,3.08,111.78,61.96,,10.49,3.24,2.91,,,,,,,14.48,85.89,0.79,206.87,0.0,0.0,6.0,739.55,
2019-01-02 02:00:00,351.0,,3.28,96.86,54.18,,9.36,2.78,3.18,,,,,,,13.89,85.9,0.89,176.07,0.0,0.0,5.98,739.35,
2019-01-02 03:00:00,316.0,,3.29,76.35,43.28,,10.66,2.34,3.39,,,,,,,13.69,85.89,0.5,154.25,0.0,0.0,5.96,739.14,
2019-01-02 04:00:00,293.0,,2.76,66.9,37.64,,9.53,2.06,3.31,,,,,,,13.62,85.89,0.9,104.93,0.0,0.0,5.97,739.08,
2019-01-02 05:00:00,283.0,,2.84,64.76,36.56,,7.61,2.01,3.54,,,,,,,13.19,85.9,0.9,129.22,0.0,0.0,5.99,739.39,
2019-01-02 06:00:00,288.0,,2.89,70.74,39.98,,11.74,2.28,3.9,,,,,,,12.64,85.89,0.86,98.54,0.0,0.0,6.05,739.84,
2019-01-02 07:00:00,344.0,,3.02,81.06,45.62,,11.71,2.47,3.74,,,,,,,12.57,85.9,1.12,98.01,0.0,0.0,9.04,740.36,
2019-01-02 08:00:00,391.0,,3.61,91.13,51.41,,17.16,2.91,3.93,,,,,,,13.77,85.9,0.7,204.07,0.0,0.0,40.82,741.35,
2019-01-02 09:00:00,478.0,,2.88,86.51,48.36,,25.55,2.23,8.23,,,,,,,16.0,85.9,1.1,117.55,0.0,0.0,99.93,742.17,
2019-01-02 10:00:00,310.0,,3.52,58.57,34.26,,25.77,1.43,29.36,,,,,,,17.78,76.84,1.55,131.12,0.0,0.0,176.23,742.4,
2019-01-02 11:00:00,258.0,,2.95,55.61,32.02,,25.03,1.13,48.21,,,,,,,19.6,51.9,1.79,135.19,0.0,0.0,247.91,741.94,
2019-01-02 12:00:00,223.0,,2.85,63.6,35.96,,20.47,0.93,52.21,,,,,,,20.64,51.84,1.97,142.17,0.0,0.0,243.39,741.08,
2019-01-02 13:00:00,187.0,,2.68,56.97,32.5,,15.83,0.81,61.39,,,,,,,21.82,51.91,1.65,143.73,0.0,0.0,298.58,740.03,
2019-01-02 14:00:00,162.0,,2.63,58.63,33.32,,12.03,0.81,66.6,,,,,,,22.5,51.95,1.53,165.65,0.0,0.0,283.36,739.54,
2019-01-02 15:00:00,140.0,,2.82,58.96,33.71,,17.29,0.83,64.04,,,,,,,22.57,51.94,1.25,172.22,0.0,0.0,211.68,739.2,
2019-01-02 16:00:00,132.0,,2.84,58.14,33.25,,15.4,0.89,60.67,,,,,,,21.87,51.93,1.15,194.27,0.0,0.0,98.89,739.42,
2019-01-02 17:00:00,154.0,,2.72,65.32,37.03,,12.05,1.3,26.24,,,,,,,20.04,51.9,0.83,186.46,0.0,0.0,13.97,739.69,
2019-01-02 18:00:00,172.0,,2.97,85.89,48.1,,16.78,2.43,5.24,,,,,,,18.58,51.9,0.78,162.77,0.0,0.0,6.07,739.91,
2019-01-02 19:00:00,238.0,,3.84,154.01,85.09,,22.92,3.51,9.07,,,,,,,17.7,51.9,0.68,149.51,0.0,0.0,6.07,740.46,
2019-01-02 20:00:00,279.0,,4.52,185.88,102.65,,26.16,5.06,19.71,,,,,,,16.89,51.9,0.62,248.34,0.0,0.0,6.02,740.98,
2019-01-02 21:00:00,576.0,,4.57,245.49,134.3,,28.96,6.67,36.37,,,,,,,16.24,51.9,0.56,241.37,0.0,0.0,5.98,740.98,
2019-01-02 22:00:00,697.0,,4.88,279.09,152.68,,28.79,6.98,87.13,,,,,,,15.85,51.9,0.95,237.52,0.0,0.0,6.01,740.89,
2019-01-02 23:00:00,657.0,,4.45,281.5,153.35,,24.28,5.97,35.24,,,,,,,15.42,51.91,0.53,242.42,0.0,0.0,6.07,740.74,
2019-01-03 00:00:00,511.0,,4.99,261.05,142.91,,12.13,5.27,42.5,,,,,,,14.99,51.9,0.67,244.51,0.0,0.0,5.94,740.73,
2019-01-03 01:00:00,394.0,,4.32,199.01,109.37,,10.03,3.31,87.51,,,,,,,14.59,51.89,0.97,254.38,0.0,0.0,5.9,740.89,
2019-01-03 02:00:00,249.0,,3.63,140.67,77.77,,6.77,2.38,31.15,,,,,,,14.15,51.89,1.13,243.28,0.0,0.0,5.93,740.89,
2019-01-03 03:00:00,214.0,,3.08,110.13,61.08,,6.16,2.32,69.62,,,,,,,14.08,51.91,1.59,255.11,0.0,0.0,5.91,740.79,
2019-01-03 04:00:00,258.0,,2.92,92.15,51.39,,7.37,1.95,10.51,,,,,,,14.05,51.91,1.16,264.07,0.0,0.0,5.96,740.7,
2019-01-03 05:00:00,298.0,,2.93,80.79,45.36,,9.53,1.99,38.18,,,,,,,13.5,51.91,1.04,231.47,0.0,0.0,5.97,740.8,
2019-01-03 06:00:00,350.0,,2.95,77.17,43.44,,14.42,2.15,33.96,,,,,,,13.31,51.91,1.11,228.92,0.0,0.0,6.09,741.35,
2019-01-03 07:00:00,430.0,,2.85,79.73,44.73,,19.09,2.48,4.53,,,,,,,13.1,51.9,0.97,259.52,0.0,0.0,8.66,741.79,
2019-01-03 08:00:00,517.0,,2.96,86.26,48.29,,18.62,2.64,4.81,,,,,,,13.44,51.91,1.01,228.79,0.0,0.0,42.66,742.34,
2019-01-03 09:00:00,501.0,,2.71,87.96,49.0,,22.52,2.35,3.94,,,,,,,15.26,51.98,1.59,248.32,0.0,0.0,100.66,743.18,
2019-01-03 10:00:00,439.0,,2.25,79.12,42.79,,30.05,1.96,5.15,,,,,,,17.88,59.73,1.84,265.82,0.0,0.0,174.58,743.5,
2019-01-03 11:00:00,375.0,,3.21,63.63,36.45,,35.99,1.15,6.49,,,,,,,19.97,70.41,2.67,269.98,0.0,0.0,263.17,742.68,
2019-01-03 12:00:00,218.0,,3.08,42.88,25.31,,29.79,0.57,5.76,,,,,,,21.32,70.61,3.22,266.96,0.0,0.0,244.41,742.01,
2019-01-03 13:00:00,110.0,,2.67,41.73,24.37,,25.93,0.5,40.42,,,,,,,21.82,70.68,3.56,272.64,0.0,0.0,324.32,741.23,
2019-01-03 14:00:00,97.0,,2.79,48.35,27.99,,19.14,0.54,62.52,,,,,,,21.78,70.77,4.11,265.4,0.0,0.0,355.28,740.58,
2019-01-03 15:00:00,85.0,,2.62,40.56,23.65,,21.26,0.67,70.94,,,,,,,21.11,39.04,4.11,262.24,0.0,0.0,257.48,740.28,
2019-01-03 16:00:00,156.0,,3.02,45.76,26.8,,23.3,0.64,57.49,,,,,,,20.55,33.41,3.51,266.86,0.0,0.0,153.92,740.21,
2019-01-03 17:00:00,117.0,,2.51,50.53,28.97,,16.32,0.87,47.59,,,,,,,19.01,33.08,2.81,259.84,0.0,0.0,23.12,740.19,
2019-01-03 18:00:00,134.0,,2.81,59.38,33.87,,17.13,1.46,13.63,,,,,,,17.42,32.74,1.71,256.74,0.0,0.0,6.05,740.4,
2019-01-03 19:00:00,229.0,,3.22,70.23,39.95,,15.63,1.73,5.7,,,,,,,16.26,32.84,1.86,263.97,0.0,0.0,6.04,740.76,
2019-01-03 20:00:00,272.0,,2.99,72.06,40.76,,14.25,1.88,8.25,,,,,,,15.72,33.12,2.77,266.89,0.0,0.0,6.01,741.04,
2019-01-03 21:00:00,293.0,,2.73,63.59,36.04,,13.9,1.67,21.13,,,,,,,15.19,33.1,2.44,266.24,0.0,0.0,5.94,741.21,
2019-01-03 22:00:00,294.0,,2.56,57.24,32.44,,11.98,1.55,20.75,,,,,,,14.6,33.06,2.47,259.52,0.0,0.0,5.9,741.06,
2019-01-03 23:00:00,267.0,,2.96,52.15,30.15,,10.72,1.49,20.11,,,,,,,14.23,32.89,2.02,263.95,0.0,0.0,5.99,740.66,
2019-01-04 00:00:00,282.0,,3.15,51.58,30.0,,9.89,1.5,69.31,,,,,,,13.68,32.76,1.5,254.82,0.0,0.0,6.08,740.78,
2019-01-04 01:00:00,284.0,,2.95,52.28,30.21,,8.56,1.5,10.91,,,,,,,13.14,32.71,1.18,246.04,0.0,0.0,6.1,740.56,
2019-01-04 02:00:00,272.0,,2.88,50.94,29.44,,7.66,1.47,11.12,,,,,,,12.99,32.73,1.08,242.4,0.0,0.0,6.11,740.43,
2019-01-04 03:00:00,250.0,,2.98,49.89,28.96,,8.39,1.49,10.57,,,,,,,12.66,32.72,1.18,240.95,0.0,0.0,6.2,739.79,
2019-01-04 04:00:00,253.0,,2.95,48.94,28.43,,6.93,1.46,5.73,,,,,,,12.1,32.76,1.32,240.09,0.0,0.0,6.22,739.56,
2019-01-04 05:00:00,230.0,,2.75,49.76,28.7,,6.6,1.36,4.22,,,,,,,11.4,32.82,1.56,264.54,0.0,0.0,6.21,739.84,
2019-01-04 06:00:00,205.0,,3.58,51.16,30.12,,4.17,1.33,2.97,,,,,,,10.35,32.93,1.9,271.29,0.0,0.0,6.23,739.82,
2019-01-04 07:00:00,181.0,,2.39,51.72,29.46,,3.08,1.38,2.86,,,,,,,10.11,32.88,1.79,256.05,0.0,0.0,10.62,740.16,
2019-01-04 08:00:00,172.0,,3.28,53.08,30.9,,3.71,1.45,4.01,,,,,,,10.76,32.83,1.65,270.77,0.0,0.0,44.22,740.99,
2019-01-04 09:00:00,176.0,,3.05,55.06,31.77,,5.93,1.52,7.86,,,,,,,12.99,32.85,1.5,259.22,0.0,0.0,104.96,741.87,
2019-01-04 10:00:00,208.0,,16.85,99.25,66.5,,12.45,1.57,11.26,,,,,,,16.06,32.69,1.29,216.63,0.0,0.0,182.33,741.86,
2019-01-04 11:00:00,218.0,,10.96,144.27,85.64,,25.82,1.81,10.6,,,,,,,17.2,32.69,1.16,154.2,0.0,0.0,164.5,741.62,
2019-01-04 12:00:00,263.0,,3.38,117.67,65.46,,26.91,1.72,17.82,,,,,,,18.82,32.77,1.04,206.27,0.0,0.0,217.78,740.87,
2019-01-04 13:00:00,227.0,,4.57,120.86,68.01,,27.55,1.83,26.82,,,,,,,19.92,32.69,1.32,136.44,0.0,0.0,244.23,739.83,
2019-01-04 14:00:00,244.0,,3.25,122.38,67.62,,25.49,1.71,25.44,,,,,,,19.58,32.68,1.46,122.84,0.0,0.0,134.48,739.26,
2019-01-04 15:00:00,208.0,,3.02,105.26,58.45,,19.83,1.54,29.59,,,,,,,19.12,32.68,1.6,99.27,0.0,0.0,69.36,738.58,
2019-01-04 16:00:00,188.0,,3.75,102.37,57.65,,19.47,1.6,26.83,,,,,,,18.56,32.7,0.99,109.64,0.0,0.0,31.09,738.51,
2019-01-04 17:00:00,184.0,,3.59,106.77,59.71,,18.26,2.2,10.38,,,,,,,17.91,32.7,0.66,172.4,0.0,0.0,10.62,738.73,
2019-01-04 18:00:00,212.0,,3.02,132.35,72.86,,20.0,3.71,2.39,,,,,,,16.98,32.7,0.63,133.53,0.0,0.0,6.07,738.87,
2019-01-04 19:00:00,320.0,,4.6,179.99,98.96,,23.34,4.66,2.4,,,,,,,16.28,32.7,0.57,172.24,0.0,0.0,6.09,739.32,
2019-01-04 20:00:00,382.0,,3.78,177.77,97.63,,18.79,4.03,2.47,,,,,,,15.88,32.7,0.84,196.2,0.0,0.0,6.1,739.53,
2019-01-04 21:00:00,466.0,,3.0,151.66,83.19,,17.73,4.32,2.52,,,,,,,15.48,32.69,0.71,122.49,0.0,0.0,6.1,740.05,
2019-01-04 22:00:00,469.0,,4.35,136.64,76.22,,14.42,4.03,2.28,,,,,,,14.63,32.66,1.05,184.3,0.0,0.0,6.11,740.51,
2019-01-04 23:00:00,482.0,,3.34,114.69,63.72,,13.29,4.04,2.66,,,,,,,14.22,32.7,0.9,172.31,0.0,0.0,6.11,740.28,
2019-01-05 00:00:00,475.9,,3.53,101.39,56.83,,9.45,3.21,41.82,,,,,,,13.6,32.69,1.33,114.62,0.0,0.0,6.13,739.59,
2019-01-05 01:00:00,399.0,,2.91,90.05,50.27,,9.38,2.73,1.9,,,,,,,12.94,32.72,1.23,109.12,0.0,0.0,6.13,739.22,
2019-01-05 02:00:00,363.0,,3.54,77.99,44.36,,8.37,2.31,1.72,,,,,,,12.69,32.71,1.6,109.21,0.0,0.0,6.17,738.87,
2019-01-05 03:00:00,343.0,,2.17,68.46,38.18,,6.82,2.01,1.99,,,,,,,12.5,32.72,1.44,92.09,0.0,0.0,6.21,738.42,
2019-01-05 04:00:00,301.0,,3.47,62.64,36.23,,7.44,1.98,1.91,,,,,,,12.06,32.68,0.92,114.72,0.0,0.0,6.19,738.49,
2019-01-05 05:00:00,295.0,,2.92,63.61,36.19,,9.88,1.86,1.97,,,,,,,11.85,32.73,1.07,94.1,0.0,0.0,6.18,738.47,
2019-01-05 06:00:00,260.0,,2.96,60.6,34.65,,8.27,1.71,2.35,,,,,,,12.01,32.73,1.32,94.31,0.0,0.0,6.2,738.84,
2019-01-05 07:00:00,242.0,,2.88,60.47,34.55,,7.69,1.83,2.37,,,,,,,11.81,32.71,1.22,89.64,0.0,0.0,8.11,739.43,
2019-01-05 08:00:00,262.0,,2.81,60.42,34.4,,7.55,1.79,3.6,,,,,,,12.55,32.7,1.55,109.16,0.0,0.0,46.16,740.21,
2019-01-05 09:00:00,244.0,,2.97,55.69,32.04,,7.57,1.72,6.42,,,,,,,13.37,32.64,2.02,140.98,0.0,0.0,100.59,741.04,
2019-01-05 10:00:00,255.0,,8.91,65.35,41.98,,6.8,1.65,8.0,,,,,,,14.14,32.72,1.7,153.64,0.0,0.0,179.08,741.2,
2019-01-05 11:00:00,227.0,,2.98,63.59,36.25,,13.08,1.39,14.28,,,,,,,16.19,49.95,1.94,131.67,0.0,0.0,254.14,740.78,
2019-01-05 12:00:00,208.0,,3.29,63.92,36.76,,14.1,0.95,23.29,,,,,,,17.75,67.65,2.64,122.41,0.0,0.0,253.01,739.92,
2019-01-05 13:00:00,165.0,,2.68,48.4,28.0,,7.23,1.42,37.41,,,,,,,19.32,67.71,2.73,121.44,0.0,0.0,276.37,738.71,
2019-01-05 14:00:00,126.0,,2.55,44.35,25.66,,6.87,1.47,49.07,,,,,,,20.28,67.56,3.37,118.96,0.0,0.0,280.6,737.75,
2019-01-05 15:00:00,120.0,,2.46,43.57,25.26,,7.22,1.17,54.98,,,,,,,20.54,67.7,2.8,112.81,0.0,0.0,200.75,737.02,
2019-01-05 16:00:00,130.0,,2.84,43.14,25.26,,6.34,1.01,51.51,,,,,,,20.19,67.75,2.48,109.84,0.0,0.0,99.07,736.71,
2019-01-05 17:00:00,108.0,,2.87,48.61,28.14,,6.19,1.38,25.8,,,,,,,18.89,67.7,1.56,100.41,0.0,0.0,15.36,736.63,
2019-01-05 18:00:00,137.0,,3.22,66.08,37.72,,9.11,1.87,9.95,,,,,,,17.66,67.72,1.62,102.69,0.0,0.0,6.1,736.94,
2019-01-05 19:00:00,167.0,,3.05,83.0,46.65,,11.84,2.24,5.49,,,,,,,16.87,67.7,1.44,95.78,0.0,0.0,6.13,737.29,
2019-01-05 20:00:00,198.0,,3.21,91.64,51.39,,12.09,2.75,3.24,,,,,,,16.19,67.7,0.6,139.01,0.0,0.0,6.12,737.42,
2019-01-05 21:00:00,218.0,,3.82,111.53,62.38,,12.84,2.81,2.29,,,,,,,15.9,67.7,0.95,104.09,0.0,0.0,6.13,737.72,
2019-01-05 22:00:00,228.0,,3.14,98.26,54.82,,11.29,2.25,5.14,,,,,,,15.6,67.72,1.71,94.87,0.0,0.0,6.06,737.41,
2019-01-05 23:00:00,208.0,,2.79,74.94,41.61,,10.18,1.8,11.69,,,,,,,15.18,67.72,1.95,104.18,0.0,0.0,6.13,736.98,
2019-01-06 00:00:00,211.0,,2.87,59.09,33.81,,6.15,1.65,67.41,,,,,,,14.9,67.7,1.39,107.31,0.0,0.0,6.14,736.57,
2019-01-06 01:00:00,227.0,,2.63,52.44,30.03,,4.13,1.51,26.71,,,,,,,14.97,67.74,1.71,97.65,0.0,0.0,6.15,736.4,
2019-01-06 02:00:00,205.0,,2.72,49.1,28.33,,5.2,1.45,27.34,,,,,,,14.85,67.73,1.99,99.8,0.0,0.0,6.16,736.11,
2019-01-06 03:00:00,212.0,,2.52,47.18,27.14,,4.77,1.41,27.14,,,,,,,14.89,67.72,1.87,108.86,0.0,0.0,6.16,735.8,
2019-01-06 04:00:00,200.0,,2.41,48.39,27.65,,5.03,1.5,14.11,,,,,,,14.45,67.99,2.84,211.1,0.0,0.0,6.19,736.11,
2019-01-06 05:00:00,225.0,,3.0,54.75,31.57,,5.0,1.41,5.24,,,,,,,14.09,68.03,2.77,267.46,0.0,0.0,6.25,737.31,
2019-01-06 06:00:00,233.0,,2.84,55.19,31.67,,8.12,1.3,5.22,,,,,,,14.24,67.96,2.25,271.24,0.0,0.0,6.24,737.97,
2019-01-06 07:00:00,194.0,,2.36,55.46,31.42,,9.58,1.13,4.58,,,,,,,13.83,67.64,3.05,203.07,0.08,0.125,6.24,738.13,
2019-01-06 08:00:00,141.0,,2.42,53.93,30.65,,8.12,0.99,9.41,,,,,,,13.86,68.05,2.65,245.54,0.0,0.0,28.74,739.28,
2019-01-06 09:00:00,114.0,,2.89,54.38,31.28,,8.37,0.91,11.48,,,,,,,14.13,68.13,2.87,269.58,0.0,0.0,65.85,739.65,
2019-01-06 10:00:00,98.0,,2.56,55.54,31.62,,8.78,1.16,8.49,,,,,,,14.76,67.7,2.29,129.63,0.0,0.0,121.15,739.12,
2019-01-06 11:00:00,135.0,,2.88,61.88,35.26,,10.23,1.13,12.26,,,,,,,17.0,67.66,2.51,102.04,0.0,0.0,223.71,738.34,
2019-01-06 12:00:00,146.0,,2.8,59.32,33.77,,10.5,1.07,23.77,,,,,,,18.19,67.54,2.74,92.62,0.0,0.0,229.09,737.49,
2019-01-06 13:00:00,149.0,,2.76,55.8,31.93,,21.68,0.94,32.53,,,,,,,19.29,67.54,2.97,95.0,0.0,0.0,249.37,736.84,
2019-01-06 14:00:00,133.0,,2.35,51.95,29.54,,28.51,0.93,35.26,,,,,,,19.74,67.63,2.42,92.98,0.0,0.0,199.46,736.52,
2019-01-06 15:00:00,124.0,,2.52,50.81,29.07,,29.8,0.96,33.86,,,,,,,19.35,67.62,1.7,140.85,0.0,0.0,96.05,736.43,
2019-01-06 16:00:00,125.0,,2.83,49.96,28.88,,23.62,1.06,32.01,,,,,,,18.87,67.73,1.78,266.71,0.0,0.0,50.0,736.76,
2019-01-06 17:00:00,138.0,,2.7,58.1,33.05,,20.1,1.6,10.58,,,,,,,18.14,67.72,1.17,279.48,0.0,0.0,10.86,737.16,
2019-01-06 18:00:00,215.0,,2.81,77.98,43.76,,17.95,2.29,2.23,,,,,,,17.03,67.71,0.51,256.79,0.0,0.0,6.12,737.7,
2019-01-06 19:00:00,261.0,,3.36,110.24,61.44,,18.36,3.19,2.68,,,,,,,16.52,67.72,1.31,257.03,0.0,0.0,6.11,738.24,
2019-01-06 20:00:00,364.0,,2.98,102.34,56.86,,12.61,2.26,1.97,,,,,,,16.21,67.9,2.17,268.08,0.0,0.0,6.11,738.82,
