Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2016-01-01 00:00:00,259.0,,73.08,40.25,113.33,,,,4.11,3.06,8.04,3.29,,,,15.73,60.88,0.27,279.96,0.0,0.0,63.02,741.74,-0.14
2016-01-01 01:00:00,287.0,,81.63,35.28,116.91,,,,4.52,2.79,7.28,3.04,,,,15.15,60.76,0.27,279.87,0.0,0.0,63.2,741.4,-0.14
2016-01-01 02:00:00,252.0,,79.03,26.1,105.12,,,,3.9,2.8,6.55,2.78,,,,14.56,60.62,0.27,270.26,0.0,0.0,63.17,741.14,-0.14
2016-01-01 03:00:00,295.0,,42.02,29.66,71.68,,,,4.71,2.61,5.68,2.27,,,,14.52,60.6,0.28,241.43,0.0,0.0,62.37,740.9,-0.14
2016-01-01 04:00:00,289.0,,37.1,30.05,67.14,,,,24.23,2.4,5.09,1.87,,,,14.43,60.58,0.54,239.83,0.0,0.0,62.27,740.69,-0.16
2016-01-01 05:00:00,267.0,,39.97,26.48,66.45,,,,16.96,2.23,4.8,1.7,,,,14.06,60.47,0.58,211.34,0.0,0.0,62.06,741.34,-0.16
2016-01-01 06:00:00,284.0,,46.7,24.58,71.27,,,,18.65,2.27,4.8,1.63,,,,14.08,60.44,0.27,112.73,0.0,0.0,60.1,742.24,-0.12
2016-01-01 07:00:00,305.0,,98.09,18.29,116.37,,,,9.37,2.84,5.26,1.89,,,,13.75,60.38,0.27,218.87,0.0,0.0,76.06,742.64,-0.14
2016-01-01 08:00:00,408.0,,103.08,20.89,123.97,,,,3.68,3.31,5.7,2.18,,,,15.07,60.88,0.27,245.8,0.0,0.0,152.42,743.69,-0.14
2016-01-01 09:00:00,442.0,,66.91,40.02,106.94,,,,10.5,3.28,5.8,2.33,,,,18.03,61.63,0.27,204.62,0.0,0.0,219.04,744.55,-0.14
2016-01-01 10:00:00,408.0,,92.22,95.3,161.18,,,,7.69,2.98,5.64,2.22,,,,20.12,58.02,0.48,197.44,0.0,0.0,274.14,744.95,-0.16
2016-01-01 11:00:00,384.0,,24.04,133.26,157.29,,,,7.18,2.83,5.74,2.34,,,,19.66,60.3,1.1,206.76,0.0,0.0,260.0,744.77,-0.21
2016-01-01 12:00:00,422.0,,8.66,75.36,84.02,,,,6.15,2.61,5.56,0.81,,,,21.62,52.66,0.79,157.42,0.0,0.0,351.68,743.92,-0.16
2016-01-01 13:00:00,331.0,,4.84,39.34,44.18,,,,9.44,1.95,4.08,1.41,,,,23.02,46.16,1.25,123.88,0.0,0.0,397.71,742.91,-0.12
2016-01-01 14:00:00,206.0,,4.58,37.65,42.22,,,,6.49,1.62,3.43,1.11,,,,23.84,46.12,1.72,111.61,0.0,0.0,362.63,741.92,-0.06
